FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
970427;0600;7;;;
970427;0700;9;;;
970427;0800;11;;;
970427;0900;16;;;
970427;1000;24;;;
970427;1100;35;;;
970427;1200;50;;;
970427;1300;61;;;
970427;1400;69;;;
970427;1500;68;;;
970427;1600;65;;;
970427;1700;37;;;
970427;1800;14;;;
970427;1900;3;;;
970427;2000;2;;;
970427;2100;3;;;
970427;2200;9;;;
970427;2300;12;;;
970428;0000;21;;;
970428;0100;14;;;
970428;0200;22;;;
970428;0300;19;;;
970428;0400;18;;;
970428;0500;18;;;
970428;0600;13;;;
970428;0700;4;;;
970428;0800;5;;;
970428;0900;12;;;
970428;1000;28;;;
970428;1100;38;;;
970428;1200;36;;;
970428;1300;56;;;
970428;1400;97;;;
970428;1500;90;;;
970428;1600;63;;;
970428;1700;31;;;
970428;1800;13;;;
970428;1900;5;;;
970428;2000;3;;;
970428;2100;3;;;
970428;2200;3;;;
970428;2300;3;;;
970429;0000;8;;;
970429;0100;15;;;
970429;0200;15;;;
970429;0300;16;;;
970429;0400;15;;;
970429;0500;13;;;
970429;0600;7;;;
970429;0700;2;;;
970429;0800;3;;;
970429;0900;3;;;
970429;1000;;;;
970429;1100;;;;
970429;1200;16;;;
970429;1300;32;;;
970429;1400;34;;;
970429;1500;39;;;
970429;1600;17;;;
970429;1700;9;;;
970429;1800;1;;;
970429;1900;2;;;
970429;2000;2;;;
970429;2100;3;;;
970429;2200;1;;;
970429;2300;1;;;
970430;0000;1;;;
970430;0100;1;;;
970430;0200;3;;;
970430;0300;5;;;
970430;0400;2;;;
970430;0500;1;;;
970430;0600;2;;;
970430;0700;2;;;
970430;0800;3;;;
970430;0900;3;;;
970430;1000;14;;;
970430;1100;13;;;
970430;1200;14;;;
970430;1300;29;;;
970430;1400;41;;;
970430;1500;33;;;
970430;1600;21;;;
970430;1700;16;;;
970430;1800;3;;;
970430;1900;3;;;
970430;2000;2;;;
970430;2100;2;;;
970430;2200;2;;;
970430;2300;2;;;
970501;0000;3;;;
970501;0100;2;;;
970501;0200;2;;;
970501;0300;1;;;
970501;0400;2;;;
970501;0500;3;;;
970501;0600;10;;;
970501;0700;11;;;
970501;0800;12;;;
970501;0900;23;;;
970501;1000;37;;;
970501;1100;57;;;
970501;1200;73;;;
970501;1300;117;;;
970501;1400;100;;;
970501;1500;86;;;
970501;1600;54;;;
970501;1700;21;;;
970501;1800;6;;;
970501;1900;3;;;
970501;2000;2;;;
970501;2100;3;;;
970501;2200;4;;;
970501;2300;7;;;
970502;0000;18;;;
970502;0100;2;;;
970502;0200;5;;;
970502;0300;20;;;
970502;0400;19;;;
970502;0500;12;;;
970502;0600;8;;;
970502;0700;7;;;
970502;0800;6;;;
970502;0900;12;;;
970502;1000;25;;;
970502;1100;38;;;
970502;1200;65;;;
970502;1300;103;;;
970502;1400;128;;;
970502;1500;134;;;
970502;1600;75;;;
970502;1700;27;;;
970502;1800;5;;;
970502;1900;3;;;
970502;2000;2;;;
970502;2100;3;;;
970502;2200;3;;;
970502;2300;5;;;
970503;0000;12;;;
970503;0100;12;;;
970503;0200;11;;;
970503;0300;13;;;
970503;0400;20;;;
970503;0500;16;;;
970503;0600;15;;;
970503;0700;8;;;
970503;0800;6;;;
970503;0900;12;;;
970503;1000;26;;;
970503;1100;40;;;
970503;1200;62;;;
